timeUTC,lat,lon,category,notes
2013-05-01 05:05:00.000,42.442837,-76.483985,timelinePath,2013-05-01 04:00 + 65'
2013-05-01 05:05:27.321,42.442337,-76.483567,visit,duration: 0.73 h
2013-05-03 00:00:00.000,42.445345,-76.482785,activity,start
2013-05-03 19:14:00.000,42.445345,-76.482785,timelinePath,2013-05-03 18:00 + 74'
2013-05-03 19:16:00.000,42.442378,-76.483636,timelinePath,2013-05-03 18:00 + 76'
2013-05-03 19:19:00.000,42.445345,-76.482785,timelinePath,2013-05-03 18:00 + 79'
2013-05-03 19:19:11.015,42.445345,-76.482785,activity,end
2013-05-03 19:22:00.000,42.442185,-76.483872,timelinePath,2013-05-03 18:00 + 82'
2013-05-03 21:54:00.000,42.4478,-76.491149,timelinePath,2013-05-03 20:00 + 114'
2013-05-03 22:00:00.000,42.4478,-76.491149,timelinePath,2013-05-03 22:00 + 0'
2013-05-03 22:53:00.000,42.438827,-76.496718,timelinePath,2013-05-03 22:00 + 53'
2013-05-03 22:53:00.000,42.438827,-76.496718,timelinePath,2013-05-03 22:00 + 53'
2013-05-03 23:02:00.000,42.440344,-76.496968,timelinePath,2013-05-03 22:00 + 62'
2013-05-04 00:24:00.000,42.445122,-76.4847,timelinePath,2013-05-04 00:00 + 24'
2013-05-04 00:27:00.000,42.44695,-76.489091,timelinePath,2013-05-04 00:00 + 27'
2013-05-04 00:30:00.000,42.44545,-76.482622,timelinePath,2013-05-04 00:00 + 30'
2013-05-04 11:44:00.000,42.454996,-76.498007,timelinePath,2013-05-04 10:00 + 104'
2013-05-04 15:28:00.000,42.449702,-76.489297,timelinePath,2013-05-04 14:00 + 88'
2013-05-04 15:33:00.000,42.442619,-76.48204,timelinePath,2013-05-04 14:00 + 93'
2013-05-04 21:35:00.000,42.479869,-76.479356,timelinePath,2013-05-04 20:00 + 95'
2013-05-04 21:53:00.000,42.480435,-76.479397,timelinePath,2013-05-04 20:00 + 113'
2013-05-04 22:04:00.000,42.458221,-76.491138,timelinePath,2013-05-04 22:00 + 4'
2013-05-04 22:08:00.000,42.454406,-76.489749,timelinePath,2013-05-04 22:00 + 8'
2013-05-04 23:49:00.000,42.438016,-76.492496,timelinePath,2013-05-04 22:00 + 109'
2013-05-05 00:40:00.000,42.48303,-76.490522,timelinePath,2013-05-05 00:00 + 40'
2013-05-05 00:43:00.000,42.482223,-76.47875,timelinePath,2013-05-05 00:00 + 43'
2013-05-05 01:03:00.000,42.473946,-76.457906,timelinePath,2013-05-05 00:00 + 63'
2013-05-05 01:07:00.000,42.482151,-76.470942,timelinePath,2013-05-05 00:00 + 67'
2013-05-05 01:13:00.000,42.483674,-76.47753,timelinePath,2013-05-05 00:00 + 73'
2013-05-05 01:30:00.000,42.482539,-76.489549,timelinePath,2013-05-05 00:00 + 90'
2013-05-05 01:36:00.000,42.472533,-76.473711,timelinePath,2013-05-05 00:00 + 96'
2013-05-05 01:41:00.000,42.45341,-76.480703,timelinePath,2013-05-05 00:00 + 101'
2013-05-05 01:48:00.000,42.444839,-76.482654,timelinePath,2013-05-05 00:00 + 108'
2013-05-05 01:51:00.000,42.444839,-76.482654,timelinePath,2013-05-05 00:00 + 111'
2013-05-05 05:52:00.000,42.442222,-76.482935,timelinePath,2013-05-05 04:00 + 112'
2013-05-06 14:41:00.000,42.442517,-76.483626,timelinePath,2013-05-06 14:00 + 41'
2013-05-06 14:44:00.000,42.444687,-76.485059,timelinePath,2013-05-06 14:00 + 44'
2013-05-06 14:47:00.000,42.444687,-76.485059,timelinePath,2013-05-06 14:00 + 47'
2013-05-06 14:50:00.000,42.442497,-76.483597,timelinePath,2013-05-06 14:00 + 50'
2013-05-06 14:53:00.000,42.443332,-76.483062,timelinePath,2013-05-06 14:00 + 53'
2013-05-06 21:03:00.000,42.447296,-76.488731,timelinePath,2013-05-06 20:00 + 63'
2013-05-06 21:07:00.000,42.441851,-76.483695,timelinePath,2013-05-06 20:00 + 67'
2013-05-07 02:14:41.889,42.446857,-76.49037,activity,start
2013-05-07 02:15:00.000,42.446857,-76.49037,timelinePath,2013-05-07 02:00 + 15'
2013-05-07 02:15:00.000,42.441956,-76.482966,timelinePath,2013-05-07 02:00 + 15'
2013-05-07 02:19:47.058,42.446857,-76.49037,activity,end
2013-05-07 02:20:00.000,42.446857,-76.49037,timelinePath,2013-05-07 02:00 + 20'
2013-05-07 02:20:30.796,42.446857,-76.49037,activity,start
2013-05-07 02:21:00.000,42.446857,-76.49037,timelinePath,2013-05-07 02:00 + 21'
2013-05-07 02:24:00.000,42.442172,-76.482864,timelinePath,2013-05-07 02:00 + 24'
2013-05-07 02:26:40.832,42.446857,-76.49037,activity,end
2013-05-07 02:27:00.000,42.446857,-76.49037,timelinePath,2013-05-07 02:00 + 27'
2013-05-07 02:30:00.000,42.446857,-76.49037,timelinePath,2013-05-07 02:00 + 30'
2013-05-07 06:17:00.000,42.442163,-76.48281,timelinePath,2013-05-07 06:00 + 17'
2013-05-07 06:23:00.000,42.446857,-76.49037,timelinePath,2013-05-07 06:00 + 23'
2013-05-07 15:59:00.000,42.442281,-76.483189,timelinePath,2013-05-07 14:00 + 119'
2013-05-08 01:50:00.000,42.442123,-76.482952,timelinePath,2013-05-08 00:00 + 110'
2013-05-08 16:44:00.000,42.437981,-76.483626,timelinePath,2013-05-08 16:00 + 44'
